model_dim,num_heads,num_layers,batch_size,lr,dropout,notation,task
512,4,5,256,0.0001,0.3,fragsmiles,backward
256,4,4,512,0.001,0.3,safe,backward
256,4,3,256,0.001,0.3,selfies,backward
256,4,4,512,0.001,0.3,smiles,backward
