model_dim,num_heads,num_layers,batch_size,lr,dropout,notation,task
512,4,5,256,0.0001,0.3,fragsmiles,forward
512,4,5,256,0.0001,0.3,safe,forward
256,4,3,512,0.001,0.3,selfies,forward
256,4,4,512,0.001,0.3,smiles,forward
